Collection Time,Synchronized to Cloud,Collected By,Longitude,Latitude,Confidence,Status
2026-06-02T20:05:54Z,2026-06-02T20:20:57.813Z,1e00000990,141.3532166,43.0772603,98,0
2026-06-02T20:06:52Z,2026-06-02T20:20:57.812Z,1e00000990,141.3512948,43.0802474,180,0
2026-06-02T20:07:54Z,2026-06-02T20:20:57.813Z,1e00000990,141.3504115,43.0819975,137,0
2026-06-02T20:11:53Z,2026-06-02T20:20:57.813Z,1e00000990,141.3455549,43.0980921,60,0
2026-06-02T20:57:54Z,2026-06-02T21:19:07.346Z,1e00000990,141.2704806,43.1308643,30,0
2026-06-02T20:57:56Z,2026-06-02T21:19:07.346Z,1e00000990,141.2706509,43.1309193,70,0
2026-06-02T21:00:56Z,2026-06-02T21:19:07.346Z,1e00000990,141.2817897,43.1257482,45,0
2026-06-02T21:02:54Z,2026-06-02T21:19:07.347Z,1e00000990,141.2856864,43.1249702,64,0
2026-06-02T21:02:56Z,2026-06-02T21:19:07.346Z,1e00000990,141.2857111,43.1248557,27,0
2026-06-02T21:04:56Z,2026-06-02T21:19:07.347Z,1e00000990,141.2864598,43.1228807,28,0
2026-06-02T21:11:56Z,2026-06-02T21:19:07.346Z,1e00000990,141.2936159,43.1153093,35,0
2026-06-02T22:12:18Z,2026-06-02T22:21:24.213Z,1e00000990,141.244043,43.1415902,85,0
2026-06-02T22:13:01Z,2026-06-02T22:21:24.215Z,1e00000990,141.2430045,43.1422321,57,0
2026-06-02T22:15:34Z,2026-06-02T22:21:24.214Z,1e00000990,141.2455946,43.1424191,119,0
2026-06-02T22:16:56Z,2026-06-02T22:21:24.215Z,1e00000990,141.2477424,43.1398231,64,0
2026-06-02T22:17:01Z,2026-06-02T22:21:24.214Z,1e00000990,141.2477866,43.1400288,77,0
2026-06-02T22:17:18Z,2026-06-02T22:21:24.214Z,1e00000990,141.2469592,43.1390015,64,0
2026-06-02T22:18:00Z,2026-06-02T22:21:24.214Z,1e00000990,141.2429966,43.1361185,69,0
2026-06-02T22:21:21Z,2026-06-02T22:21:24.214Z,1e00000990,141.252596,43.134385,92,0
2026-06-02T22:52:57Z,2026-06-02T23:26:49.333Z,1e00000990,141.2540961,43.1390169,98,0
2026-06-02T23:03:13Z,2026-06-02T23:26:49.333Z,1e00000990,141.2418258,43.1352652,161,0
2026-06-02T23:04:01Z,2026-06-02T23:26:49.332Z,1e00000990,141.2505689,43.1346552,125,0
2026-06-02T23:08:54Z,2026-06-02T23:26:49.332Z,1e00000990,141.2507408,43.1346839,42,0
2026-06-02T23:14:59Z,2026-06-02T23:26:49.333Z,1e00000990,141.2518041,43.1355303,83,0
2026-06-02T23:15:55Z,2026-06-02T23:26:49.333Z,1e00000990,141.2512243,43.1352565,95,0
2026-06-02T23:16:53Z,2026-06-02T23:26:49.332Z,1e00000990,141.2514297,43.1350561,172,0
2026-06-02T23:25:58Z,2026-06-02T23:26:49.333Z,1e00000990,141.2531101,43.135082,71,0
2026-06-03T00:25:58Z,2026-06-03T00:39:45.689Z,1e00000990,141.2695891,43.1048662,139,0
2026-06-03T00:29:54Z,2026-06-03T00:39:45.688Z,1e00000990,141.2704272,43.1040517,153,0
