UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c00001404,2026-06-11T06:04:09.499Z,2026-06-01T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.499Z,2026-06-01T06:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.5Z,2026-06-01T12:00:25Z,141.1351168,39.7073408,152.5,188.2,0,0,0,0,0,4,2,-99999.9,-99999.9,32,[1],2.12,4.06
2c00001404,2026-06-11T06:04:09.501Z,2026-06-02T00:02:04Z,141.135104,39.7151904,172.1,207.8,0.2,0,0,0,0,5,2,-99999.9,-99999.9,125,[1],3.58,18.86
2c00001404,2026-06-11T06:04:09.504Z,2026-06-02T06:02:31Z,141.138048,39.717408,149.4,185.1,0.4,0,0,0,305.6,7,2,-99999.9,-99999.9,151,[1],1.38,1.69
2c00001404,2026-06-11T06:04:09.505Z,2026-06-02T12:00:31Z,141.1348608,39.7084896,156,191.7,0,0,0,0,0,4,2,-99999.9,-99999.9,29,[1],2.84,3.31
2c00001404,2026-06-11T06:04:09.507Z,2026-06-03T06:01:26Z,141.1384704,39.7150528,162.6,198.3,11.5,0,0,0,79.3,4,2,-99999.9,-99999.9,91,[1],3.04,3.35
2c00001404,2026-06-11T06:04:09.509Z,2026-06-04T06:00:41Z,141.1356032,39.7152896,130.6,166.3,0,0,0,0,0,6,2,-99999.9,-99999.9,47,[1],2.53,3.56
2c00001404,2026-06-11T06:04:09.511Z,2026-06-04T12:00:32Z,141.137088,39.7140128,158.9,194.6,0.1,0,0,0,0,3,2,-99999.9,-99999.9,29,[1],2.7,3.71
2c00001404,2026-06-11T06:04:09.513Z,2026-06-04T18:00:55Z,141.1371776,39.7140192,145.5,181.2,0.1,0,0,0,0,6,2,-99999.9,-99999.9,57,[1],1.45,1.78
2c00001404,2026-06-11T06:04:09.515Z,2026-06-05T00:00:31Z,141.1312768,39.7135968,132.4,168.1,0,0,0,0,0,5,2,-99999.9,-99999.9,29,[1],2.32,2.23
2c00001404,2026-06-11T06:04:09.516Z,2026-06-05T06:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.541Z,2026-06-05T12:00:31Z,141.1371008,39.714064,168.3,204,0,0,0,0,0,5,2,-99999.9,-99999.9,34,[1],1.96,2.36
2c00001404,2026-06-11T06:04:09.543Z,2026-06-05T18:00:31Z,141.1371008,39.714016,167.8,203.5,0,0,0,0,0,6,2,-99999.9,-99999.9,30,[1],1.41,2.22
2c00001404,2026-06-11T06:04:09.544Z,2026-06-06T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.545Z,2026-06-06T06:02:14Z,141.1393536,39.7148544,165.3,201,1,0,0,0,124.6,5,2,-99999.9,-99999.9,138,[1],1.7,2.06
2c00001404,2026-06-11T06:04:09.546Z,2026-06-06T12:01:01Z,141.137152,39.714064,170.4,206.1,0,0,0,0,0,8,2,-99999.9,-99999.9,61,[1],0.95,1.38
2c00001404,2026-06-11T06:04:09.547Z,2026-06-07T06:01:01Z,141.1389184,39.7147296,165.9,201.6,0.1,0,0,0,0,3,2,-99999.9,-99999.9,63,[1],2.73,2.86
2c00001404,2026-06-11T06:04:09.549Z,2026-06-09T06:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.549Z,2026-06-09T12:00:32Z,141.137216,39.7139776,149.9,185.6,0.2,0,0,0,0,6,2,-99999.9,-99999.9,49,[1],1.37,2.2
2c00001404,2026-06-11T06:04:09.55Z,2026-06-10T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,150,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.55Z,2026-06-10T06:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-06-11T06:04:09.55Z,2026-06-11T06:02:33Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,150,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:35.925Z,2026-06-11T12:01:16Z,141.1376896,39.7147584,190.1,225.8,0.1,0,0,0,0,4,2,-99999.9,-99999.9,91,[1],5.34,6.29
2c00001404,2026-07-02T12:48:35.926Z,2026-06-12T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,150,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:35.926Z,2026-06-12T06:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:35.926Z,2026-06-13T06:01:25Z,141.1389184,39.71464,146.1,181.8,0.1,0,0,0,0,6,2,-99999.9,-99999.9,99,[1],4.2,4.33
2c00001404,2026-07-02T12:48:35.928Z,2026-06-13T12:00:41Z,141.1376384,39.7144768,174.9,210.6,0,0,0,0,0,5,2,-99999.9,-99999.9,40,[1],1.26,2
2c00001404,2026-07-02T12:48:35.93Z,2026-06-13T18:00:41Z,141.1372544,39.71464,140.3,176,0,0,0,0,0,5,2,-99999.9,-99999.9,42,[1],1.42,1.38
2c00001404,2026-07-02T12:48:35.931Z,2026-06-14T00:00:41Z,141.1388672,39.7147456,151.9,187.6,0.1,0,0,0,0,7,2,-99999.9,-99999.9,40,[1],2.79,2.31
2c00001404,2026-07-02T12:48:35.933Z,2026-06-14T06:01:25Z,141.1379712,39.7152032,164.7,200.4,0,0,0,0,0,5,2,-99999.9,-99999.9,86,[1],2.65,3.83
2c00001404,2026-07-02T12:48:35.935Z,2026-06-14T12:00:31.01Z,141.137408,39.7145408,161.8,197.5,0,0,0,0,0,5,2,-99999.9,-99999.9,30,[1],2.29,3.12
2c00001404,2026-07-02T12:48:35.936Z,2026-06-14T18:00:49Z,141.137088,39.7146784,128.8,164.5,0,0,0,0,0,8,2,-99999.9,-99999.9,51,[1],1,1.23
2c00001404,2026-07-02T12:48:35.938Z,2026-06-15T00:02:34Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,151,[1],-99999.99,-99999.99
2c00001404,2026-07-02T12:48:35.938Z,2026-06-15T06:02:16Z,141.138944,39.7149376,205,240.7,0,0,0,0,0,4,2,-99999.9,-99999.9,137,[1],4.55,9.85
2c00001404,2026-07-02T12:48:35.94Z,2026-06-15T12:01:11Z,141.1375232,39.7143456,171.5,207.2,0,0,0,0,0,4,2,-99999.9,-99999.9,71,[1],2.72,3.1
