UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c0000149d,2026-06-07T00:14:11.683Z,2026-06-01T06:00:32Z,141.319616,42.9875616,169.3,200.5,0,0,0,0,0,4,2,-99999.9,-99999.9,56,[1],1.87,2.43
2c0000149d,2026-06-07T00:14:11.685Z,2026-06-01T12:01:19Z,141.3196928,42.9877952,112.1,143.3,0,0,0,0,0,6,2,-99999.9,-99999.9,79,[1],1.74,2.77
2c0000149d,2026-06-07T00:14:11.686Z,2026-06-02T00:00:55Z,141.3196672,42.987456,166.5,197.7,0,0,0,0,0,4,2,-99999.9,-99999.9,56,[1],2.61,3.31
2c0000149d,2026-06-07T00:14:11.688Z,2026-06-02T06:01:02Z,141.3196928,42.9875136,142.9,174.1,0,0,0,0,0,7,2,-99999.9,-99999.9,61,[1],1.36,1.81
2c0000149d,2026-06-07T00:14:11.69Z,2026-06-02T12:01:01Z,141.3198208,42.9878144,158,189.2,0,0,0,0,0,5,2,-99999.9,-99999.9,63,[1],1.92,3.84
2c0000149d,2026-06-07T00:14:11.691Z,2026-06-02T18:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c0000149d,2026-06-07T00:14:11.691Z,2026-06-03T00:00:48Z,141.3197568,42.9873824,177.9,209.1,0,0,0,0,0,9,2,-99999.9,-99999.9,49,[1],1.02,1.1
2c0000149d,2026-06-07T00:14:11.693Z,2026-06-03T06:00:31Z,141.3199104,42.987568,159.4,190.6,0,0,0,0,0,7,2,-99999.9,-99999.9,30,[1],1.26,1.72
2c0000149d,2026-06-07T00:14:11.695Z,2026-06-03T12:00:49Z,141.319744,42.987504,169,200.2,0.1,0,0,0,0,5,2,-99999.9,-99999.9,51,[1],2.5,3.62
2c0000149d,2026-06-07T00:14:11.697Z,2026-06-03T18:01:06Z,141.3197824,42.9874272,133.9,165.1,0,0,0,0,0,5,2,-99999.9,-99999.9,65,[1],1.57,2.6
2c0000149d,2026-06-07T00:14:11.698Z,2026-06-04T00:00:31Z,141.333376,42.9823904,112,143.2,0,0,0,0,0,6,2,-99999.9,-99999.9,31,[1],1.48,2.02
2c0000149d,2026-06-07T00:14:11.7Z,2026-06-04T06:01:20Z,141.320192,42.9874176,134.3,165.5,0,0,0,0,0,5,2,-99999.9,-99999.9,79,[1],1.12,4.46
2c0000149d,2026-06-07T00:14:11.702Z,2026-06-04T12:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c0000149d,2026-06-07T00:14:11.702Z,2026-06-04T18:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c0000149d,2026-06-07T00:14:11.727Z,2026-06-05T00:01:01Z,141.3196288,42.9872512,156.4,187.6,0,0,0,0,0,6,2,-99999.9,-99999.9,64,[1],1.66,2.52
2c0000149d,2026-06-07T00:14:11.73Z,2026-06-05T06:01:08.51Z,141.319808,42.9873152,175.5,206.7,0,0,0,0,0,7,2,-99999.9,-99999.9,69,[1],1.06,1.45
2c0000149d,2026-06-07T00:14:11.733Z,2026-06-05T12:00:25Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c0000149d,2026-06-07T00:14:11.733Z,2026-06-05T18:00:24Z,200,200,-99999.99,-99999.99,-99999.9,0,0,0,-99999.9,-99999,-99999,-99999.9,-99999.9,21,[1],-99999.99,-99999.99
2c0000149d,2026-06-07T00:14:11.733Z,2026-06-06T00:01:11Z,141.3196672,42.9874944,164.5,195.7,0.1,0,0,0,0,5,2,-99999.9,-99999.9,74,[1],2.48,2.53
