UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c0000149e,2026-06-07T00:13:53.24Z,2026-06-01T00:59:19Z,141.3185152,42.9911616,199.4,230.6,0,0,0,0,0,4,2,-99999.9,-99999.9,33,[1],2.76,4.64
2c0000149e,2026-06-07T00:13:53.242Z,2026-06-01T01:06:19Z,141.3180416,42.988448,168.2,199.4,2.7,0,0,0,182.8,4,2,-99999.9,-99999.9,75,[1],2.83,4.77
2c0000149e,2026-06-07T00:13:53.244Z,2026-06-01T01:55:31Z,141.3194752,42.987072,164.6,195.8,0,0,0,0,0,5,2,-99999.9,-99999.9,26,[2],2.07,3.43
2c0000149e,2026-06-07T00:13:53.248Z,2026-06-01T02:06:01.01Z,141.3243264,42.9871584,185.7,216.9,0,0,0,0,0,5,2,-99999.9,-99999.9,55,[1],1.63,4.44
2c0000149e,2026-06-07T00:13:53.25Z,2026-06-01T04:15:31Z,141.3345152,42.9839744,95,126.2,0,0,0,0,0,6,2,-99999.9,-99999.9,27,[2],1.36,2.58
2c0000149e,2026-06-07T00:13:53.252Z,2026-06-01T06:00:32Z,141.3340032,42.9854912,108.1,139.3,0,0,0,0,0,6,2,-99999.9,-99999.9,29,[1],1.4,1.88
2c0000149e,2026-06-07T00:13:53.253Z,2026-06-01T07:30:31Z,141.3321984,42.997872,93.1,124.3,0,0,0,0,0,8,2,-99999.9,-99999.9,28,[1],1.03,1.49
2c0000149e,2026-06-07T00:13:53.255Z,2026-06-01T12:00:56Z,141.3341312,42.9973312,103.8,135,0,0,0,0,0,5,2,-99999.9,-99999.9,54,[1],1.81,4.1
2c0000149e,2026-06-07T00:13:53.256Z,2026-06-01T18:00:31Z,141.3341312,42.9972864,99.2,130.4,0,0,0,0,0,5,2,-99999.9,-99999.9,32,[1],1.68,3.11
2c0000149e,2026-06-07T00:13:53.296Z,2026-06-02T00:00:31Z,141.3193088,42.987296,151.1,182.3,0,0,0,0,0,4,2,-99999.9,-99999.9,30,[1],1.95,4.85
2c0000149e,2026-06-07T00:13:53.298Z,2026-06-02T05:45:31.01Z,141.3207808,42.9864576,193,224.2,0,0,0,0,0,7,2,-99999.9,-99999.9,32,[1],1.25,1.69
2c0000149e,2026-06-07T00:13:53.3Z,2026-06-02T06:00:06Z,141.3341696,42.9852576,106.6,137.8,0,0,0,0,0,6,2,-99999.9,-99999.9,3,[1],1.47,1.75
2c0000149e,2026-06-07T00:13:53.301Z,2026-06-02T07:50:55Z,141.3195392,42.9873088,199.1,230.3,0,0,0,0,0,5,2,-99999.9,-99999.9,54,[1],2.89,2.64
2c0000149e,2026-06-07T00:13:53.303Z,2026-06-02T12:00:39Z,141.3342336,42.9972544,90.7,121.9,0,0,0,0,0,7,2,-99999.9,-99999.9,39,[1],1.57,2.03
2c0000149e,2026-06-07T00:13:53.305Z,2026-06-02T18:00:31.01Z,141.3341184,42.9972992,89.9,121.1,0,0,0,0,0,6,2,-99999.9,-99999.9,30,[1],1.77,2.12
2c0000149e,2026-06-07T00:13:53.306Z,2026-06-03T00:00:49Z,141.3195904,42.987504,165,196.2,0,0,0,0,0,6,2,-99999.9,-99999.9,51,[1],1.6,2.59
2c0000149e,2026-06-07T00:13:53.308Z,2026-06-03T06:01:01Z,141.3197312,42.9874752,149,180.2,0,0,0,0,0,7,2,-99999.9,-99999.9,60,[1],1.28,2.2
2c0000149e,2026-06-07T00:13:53.309Z,2026-06-03T12:00:41Z,141.33376,42.9974976,92,123.2,0,0,0,0,0,8,2,-99999.9,-99999.9,42,[1],1.04,1.31
2c0000149e,2026-06-07T00:13:53.311Z,2026-06-03T18:00:31Z,141.3338624,42.9974144,85.6,116.8,0,0,0,0,0,4,2,-99999.9,-99999.9,29,[1],2.56,2.33
2c0000149e,2026-06-07T00:13:53.313Z,2026-06-04T00:01:19Z,141.3194752,42.9874912,166.1,197.3,0,0,0,0,0,5,2,-99999.9,-99999.9,81,[1],1.66,2.87
2c0000149e,2026-06-07T00:13:53.314Z,2026-06-04T04:55:56Z,141.3197184,42.9872896,169.1,200.3,0.1,0,0,0,0,5,2,-99999.9,-99999.9,53,[2],2.38,2.33
2c0000149e,2026-06-07T00:13:53.316Z,2026-06-04T06:00:32Z,141.3344128,42.9840768,98.5,129.7,0,0,0,0,0,5,2,-99999.9,-99999.9,30,[1],1.71,3.37
2c0000149e,2026-06-07T00:13:53.341Z,2026-06-04T06:51:19Z,141.3373824,42.995504,63.1,94.3,1.5,0,0,0,189.5,4,2,-99999.9,-99999.9,78,[1],2.14,2.97
