UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c0000149f,2026-06-05T01:19:39.017Z,2026-06-01T00:00:55Z,141.1387136,39.7151616,284.8,320.5,0.1,0,0,0,0,6,2,-99999.9,-99999.9,61,[1],2.8,4.39
2c0000149f,2026-06-05T01:19:39.018Z,2026-06-01T00:32:02Z,141.131136,39.7136704,154.8,190.5,0,0,0,0,0,7,2,-99999.9,-99999.9,118,[1],1.57,2.15
2c0000149f,2026-06-05T01:19:39.021Z,2026-06-01T02:40:31.01Z,141.1350144,39.7140928,143.5,179.2,0,0,0,0,0,7,2,-99999.9,-99999.9,28,[1],1.41,1.77
2c0000149f,2026-06-05T01:19:39.052Z,2026-06-01T02:50:06Z,141.131968,39.7123936,139,174.7,0.1,0,0,0,0,6,2,-99999.9,-99999.9,3,[2],2.15,3.01
2c0000149f,2026-06-05T01:19:39.055Z,2026-06-01T03:00:07Z,141.1313792,39.7119488,113.6,149.3,0.3,0,0,0,0,5,2,-99999.9,-99999.9,4,[2],1.55,2.94
2c0000149f,2026-06-05T01:19:39.056Z,2026-06-01T03:10:07Z,141.1316992,39.7119488,137.6,173.3,0.2,0,0,0,0,6,2,-99999.9,-99999.9,4,[2],1.11,1.9
2c0000149f,2026-06-05T01:19:39.058Z,2026-06-01T03:19:07Z,141.1390976,39.7147264,204.5,240.2,0,0,0,0,0,6,2,-99999.9,-99999.9,3,[2],1.32,1.84
2c0000149f,2026-06-05T01:19:39.06Z,2026-06-01T03:20:13Z,141.1389312,39.7148096,64,99.7,0,0,0,0,0,5,2,-99999.9,-99999.9,10,[2],1.15,1.73
2c0000149f,2026-06-05T01:19:39.062Z,2026-06-01T03:30:08Z,141.134656,39.7141472,212.8,248.5,0,0,0,0,0,5,2,-99999.9,-99999.9,5,[2],1.34,2.54
2c0000149f,2026-06-05T01:19:39.064Z,2026-06-01T03:40:07Z,141.1329664,39.71328,146,181.7,0.2,0,0,0,0,5,2,-99999.9,-99999.9,4,[2],1.31,2.43
2c0000149f,2026-06-05T01:19:39.066Z,2026-06-01T03:50:09Z,141.1313792,39.7122496,119.4,155.1,0.2,0,0,0,0,4,2,-99999.9,-99999.9,6,[2],2.58,3.1
2c0000149f,2026-06-05T01:19:39.068Z,2026-06-01T04:00:12Z,141.1318784,39.7119456,130.9,166.6,0.4,0,0,0,0,5,2,-99999.9,-99999.9,9,[2],1.38,2.15
2c0000149f,2026-06-05T01:19:39.069Z,2026-06-01T04:10:28Z,141.139008,39.7147488,138.9,174.6,1.2,0,0,0,0,5,2,-99999.9,-99999.9,24,[1],1.34,2.01
2c0000149f,2026-06-05T01:19:39.072Z,2026-06-01T04:30:32Z,141.138752,39.7151712,158.8,194.5,0,0,0,0,0,5,2,-99999.9,-99999.9,29,[1],1.27,1.8
2c0000149f,2026-06-05T01:19:39.074Z,2026-06-01T04:50:32Z,141.1390208,39.714608,125.7,161.4,0.1,0,0,0,0,6,2,-99999.9,-99999.9,30,[1],2.16,1.81
2c0000149f,2026-06-05T01:19:39.076Z,2026-06-01T05:10:06Z,141.1358592,39.7142688,148.5,184.2,0.1,0,0,0,0,5,2,-99999.9,-99999.9,4,[2],1.96,2.37
2c0000149f,2026-06-05T01:19:39.107Z,2026-06-01T05:20:05Z,141.1322496,39.7118944,138.7,174.4,9.4,0,0,0,336.9,5,2,-99999.9,-99999.9,3,[2],1.82,2.37
