UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Altitude (Ellipsoid),Speed,North Speed,East Speed,Down Speed,Course,Satellite used,Positioning mode,HorAccuracy,VerAccuracy,GPS time consumption,Data Source,HDOP,VDOP
2c000014a2,2026-06-07T00:33:31.998Z,2026-06-01T00:01:11Z,141.3310848,42.9879264,129.5,160.7,0,0,0,0,0,6,2,-99999.9,-99999.9,74,[1],1.62,2.14
2c000014a2,2026-06-07T00:33:32Z,2026-06-01T06:02:08.5Z,141.3337088,42.9825568,110.2,141.4,0,0,0,0,0,6,2,-99999.9,-99999.9,128,[1],2.46,2.89
2c000014a2,2026-06-07T00:33:32.003Z,2026-06-01T12:01:02Z,141.3310976,42.9879488,120.5,151.7,0,0,0,0,0,4,2,-99999.9,-99999.9,59,[1],1.89,2.51
2c000014a2,2026-06-07T00:33:32.006Z,2026-06-01T18:00:53Z,141.3308672,42.9879712,124.9,156.1,0,0,0,0,0,4,2,-99999.9,-99999.9,52,[1],2.41,3.26
2c000014a2,2026-06-07T00:33:32.008Z,2026-06-02T00:00:50Z,141.3311872,42.98792,95.5,126.7,0.1,0,0,0,0,4,2,-99999.9,-99999.9,49,[1],2.05,3.22
2c000014a2,2026-06-07T00:33:32.01Z,2026-06-02T02:30:41Z,141.330176,42.9874112,85.3,116.5,0,0,0,0,0,6,2,-99999.9,-99999.9,42,[1],1.29,1.28
2c000014a2,2026-06-07T00:33:32.011Z,2026-06-02T02:50:08Z,141.3313792,42.988192,103.7,134.9,0.4,0,0,0,0,4,2,-99999.9,-99999.9,5,[2],1.63,1.94
2c000014a2,2026-06-07T00:33:32.013Z,2026-06-02T03:00:06Z,141.331008,42.9878944,115.5,146.7,0.2,0,0,0,0,5,2,-99999.9,-99999.9,3,[2],1.33,1.61
2c000014a2,2026-06-07T00:33:32.015Z,2026-06-02T03:10:08Z,141.3308544,42.9880512,83.1,114.3,0.8,0,0,0,340.8,5,2,-99999.9,-99999.9,5,[2],1.35,1.65
2c000014a2,2026-06-07T00:33:32.054Z,2026-06-02T03:20:08Z,141.3347456,42.9885952,51.3,82.5,0.8,0,0,0,0,5,2,-99999.9,-99999.9,5,[2],1.38,1.63
2c000014a2,2026-06-07T00:33:32.055Z,2026-06-02T03:30:13Z,141.3350656,42.9888128,93,124.2,0.7,0,0,0,293.5,6,2,-99999.9,-99999.9,10,[2],1.21,1.49
2c000014a2,2026-06-07T00:33:32.057Z,2026-06-02T03:40:08Z,141.3346432,42.9889728,89.9,121.1,0.5,0,0,0,0,6,2,-99999.9,-99999.9,4,[2],1.22,1.67
2c000014a2,2026-06-07T00:33:32.059Z,2026-06-02T03:50:10Z,141.3347328,42.98888,81.5,112.7,0.7,0,0,0,293.1,5,2,-99999.9,-99999.9,6,[2],1.33,1.57
2c000014a2,2026-06-07T00:33:32.061Z,2026-06-02T04:01:07Z,141.3348736,42.9889152,78.7,109.9,0.2,0,0,0,0,5,2,-99999.9,-99999.9,64,[1],2.25,2.66
2c000014a2,2026-06-07T00:33:32.063Z,2026-06-02T04:10:08Z,141.3310848,42.9879936,105.1,136.3,0.4,0,0,0,0,4,2,-99999.9,-99999.9,5,[2],2.44,2.54
2c000014a2,2026-06-07T00:33:32.064Z,2026-06-02T04:20:08Z,141.334976,42.9885408,82.4,113.6,0.5,0,0,0,0,4,2,-99999.9,-99999.9,5,[2],2.58,2.19
2c000014a2,2026-06-07T00:33:32.067Z,2026-06-02T04:30:11Z,141.3310336,42.9880224,97,128.2,0.1,0,0,0,0,4,2,-99999.9,-99999.9,9,[2],2.75,1.91
2c000014a2,2026-06-07T00:33:32.069Z,2026-06-02T04:41:09Z,141.3345536,42.9887168,53.7,84.9,0.6,0,0,0,236.3,4,2,-99999.9,-99999.9,67,[1],1.87,2.57
2c000014a2,2026-06-07T00:33:32.072Z,2026-06-02T04:50:10Z,141.3346432,42.9891904,62.4,93.6,1.2,0,0,0,0,4,2,-99999.9,-99999.9,8,[2],1.92,2.61
2c000014a2,2026-06-07T00:33:32.074Z,2026-06-02T05:10:40Z,141.3308672,42.9879904,73.8,105,0.2,0,0,0,0,4,2,-99999.9,-99999.9,37,[1],2.27,2.74
2c000014a2,2026-06-07T00:33:32.076Z,2026-06-02T05:20:31Z,141.3334912,42.9890912,95.9,127.1,0,0,0,0,0,12,2,-99999.9,-99999.9,29,[2],0.87,1.04
2c000014a2,2026-06-07T00:33:32.079Z,2026-06-02T05:40:05Z,141.334784,42.9888544,152.8,184,2.8,0,0,0,47.8,7,2,-99999.9,-99999.9,3,[2],2.06,2.57
2c000014a2,2026-06-07T00:33:32.111Z,2026-06-02T05:50:05Z,141.3345024,42.989344,118.9,150.1,0.3,0,0,0,0,6,2,-99999.9,-99999.9,3,[2],2.53,2.55
2c000014a2,2026-06-07T00:33:32.113Z,2026-06-02T06:00:06Z,141.3345024,42.989408,94.1,125.3,0.7,0,0,0,146.1,8,2,-99999.9,-99999.9,4,"[1,2]",1.08,1.61
2c000014a2,2026-06-07T00:33:32.115Z,2026-06-02T06:10:06Z,141.3311488,42.9880896,80,111.2,0.8,0,0,0,71.5,7,2,-99999.9,-99999.9,4,[2],1.42,1.76
2c000014a2,2026-06-07T00:33:32.117Z,2026-06-02T06:20:06Z,141.331008,42.9880192,105.7,136.9,7.8,0,0,0,123.8,6,2,-99999.9,-99999.9,3,[2],1.32,1.88
2c000014a2,2026-06-07T00:33:32.119Z,2026-06-02T06:21:05Z,141.3310976,42.9880288,96.4,127.6,0.1,0,0,0,0,8,2,-99999.9,-99999.9,2,[4],1.05,1.62
2c000014a2,2026-06-07T00:33:32.122Z,2026-06-02T06:22:04Z,141.3331968,42.9891616,80,111.2,1.4,0,0,0,0,8,2,-99999.9,-99999.9,2,[4],1.05,1.62
2c000014a2,2026-06-07T00:33:32.124Z,2026-06-02T06:23:04Z,141.3331456,42.98912,86.5,117.7,0.3,0,0,0,39.8,8,2,-99999.9,-99999.9,2,[4],1.05,1.61
2c000014a2,2026-06-07T00:33:32.126Z,2026-06-02T06:30:06Z,141.3349888,42.9893984,107,138.2,0.6,0,0,0,298.9,6,2,-99999.9,-99999.9,3,[2],1.61,2.35
2c000014a2,2026-06-07T00:33:32.127Z,2026-06-02T06:40:10Z,141.3307776,42.9880128,68,99.2,1.3,0,0,0,14.6,7,2,-99999.9,-99999.9,8,[2],1.07,1.5
2c000014a2,2026-06-07T00:33:32.14Z,2026-06-02T06:50:07Z,141.3309184,42.9879584,88.1,119.3,0.1,0,0,0,0,5,2,-99999.9,-99999.9,5,[2],1.65,2.81
2c000014a2,2026-06-07T00:33:32.148Z,2026-06-02T07:00:04Z,141.33472,42.9840736,93.3,124.5,0.3,0,0,0,0,5,2,-99999.9,-99999.9,2,[2],1.93,3.14
2c000014a2,2026-06-07T00:33:32.149Z,2026-06-02T07:10:04Z,141.3341184,42.9850304,105.7,136.9,0,0,0,0,0,6,2,-99999.9,-99999.9,3,[2],1.23,1.84
2c000014a2,2026-06-07T00:33:32.154Z,2026-06-02T07:21:10Z,141.334208,42.9852096,108,139.2,0,0,0,0,0,6,2,-99999.9,-99999.9,68,[1],1.32,2.86
2c000014a2,2026-06-07T00:33:32.189Z,2026-06-02T08:01:19Z,141.3309312,42.9879104,106.2,137.4,0,0,0,0,0,7,2,-99999.9,-99999.9,77,[1],1.52,1.97
